_key,ल्युट्,अनीयर्,ण्वुल्,तुमुन्,तव्य,तृच्,क्त्वा,ल्यप्,क्तवतुँ,क्त,शतृँ,शानच्,शतृ
01.0020,ऊर्दनम्,"ऊर्दनीयः,ऊर्दनीया","ऊर्दकः,ऊर्दिका",ऊर्दितुम्,"ऊर्दितव्यः,ऊर्दितव्या","ऊर्दिता,ऊर्दित्री",ऊर्दित्वा,प्र ऊर्द्य,"ऊर्दितवान्,ऊर्दितवती","ऊर्दितः,ऊर्दिता",,"ऊर्दमानः,ऊर्दमाना",
01.0021,कूर्दनम्,"कूर्दनीयः,कूर्दनीया","कूर्दकः,कूर्दिका",कूर्दितुम्,"कूर्दितव्यः,कूर्दितव्या","कूर्दिता,कूर्दित्री",कूर्दित्वा,प्रकूर्द्य,"कूर्दितवान्,कूर्दितवती","कूर्दितः,कूर्दिता",,"कूर्दमानः,कूर्दमाना",
01.0022,खुर्दनम्,"खुर्दनीयः,खुर्दनीया","खुर्दकः,खुर्दिका",खुर्दितुम्,"खुर्दितव्यः,खुर्दितव्या","खुर्दिता,खुर्दित्री",खुर्दित्वा,प्रखुर्द्य,"खुर्दितवान्,खुर्दितवती","खुर्दितः,खुर्दिता",,"खुर्दमानः,खुर्दमाना",
01.0023,गूर्दनम्,"गूर्दनीयः,गूर्दनीया","गूर्दकः,गूर्दिका",गूर्दयितुम्,"गूर्दयितव्यः,गूर्दयितव्या","गूर्दयिता,गूर्दयित्री",गूर्दयित्वा,प्रगूर्द्य,"गूर्दितवान्,गूर्दितवती","गूर्दितः,गूर्दिता","गूर्दयन्,गूर्दयन्ती","गूर्दयमानः,गूर्दयमाना",
01.0024,गोदनम्,"गोदनीयः,गोदनीया","गोदकः,गोदिका",गोदितुम्,"गोदितव्यः,गोदितव्या","गोदिता,गोदित्री","गोदित्वा,गुदित्वा",प्रगुद्य,"गुदितवान्,गोदितवान्,गुदितवती,गोदितवती","गुदितः,गोदितः,गुदिता,गोदिता",,"गोदमानः,गोदमाना",
01.0025,सूदनम्,"सूदनीयः,सूदनीया","सूदकः,सूदिका",सूदितुम्,"सूदितव्यः,सूदितव्या","सूदिता,सूदित्री",सूदित्वा,प्रसूद्य,"सूदितवान्,सूदितवती","सूदितः,सूदिता",,"सूदमानः,सूदमाना",
01.0026,ह्रादनम्,"ह्रादनीयः,ह्रादनीया","ह्रादकः,ह्रादिका",ह्रादितुम्,"ह्रादितव्यः,ह्रादितव्या","ह्रादिता,ह्रादित्री",ह्रादित्वा,प्रह्राद्य,"ह्रादितवान्,ह्रादितवती","ह्रादितः,ह्रादिता",,"ह्रादमानः,ह्रादमाना",
01.0027,ह्लादनम्,"ह्लादनीयः,ह्लादनीया","ह्लादकः,ह्लादिका",ह्लादितुम्,"ह्लादितव्यः,ह्लादितव्या","ह्लादिता,ह्लादित्री",ह्लादित्वा,प्रह्लाद्य,"ह्लन्नवान्,ह्लन्नवती","ह्लन्नः,ह्लन्ना",,"ह्लादमानः,ह्लादमाना",
01.0028,स्वादनम्,"स्वादनीयः,स्वादनीया","स्वादकः,स्वादिका",स्वादितुम्,"स्वादितव्यः,स्वादितव्या","स्वादिता,स्वादित्री",स्वादित्वा,प्रस्वाद्य,"स्वादितवान्,स्वादितवती","स्वादितः,स्वादिता",,"स्वादमानः,स्वादमाना",
01.0029,पर्दनम्,"पर्दनीयः,पर्दनीया","पर्दकः,पर्दिका",पर्दितुम्,"पर्दितव्यः,पर्दितव्या","पर्दिता,पर्दित्री",पर्दित्वा,प्रपर्द्य,"पर्दितवान्,पर्दितवती","पर्दितः,पर्दिता",,"पर्दमानः,पर्दमाना",
